,true_mask_path,pred_mask_path,review,true_mask_pixels,pred_mask_pixels,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
0,dataset/Expert/00011827_003_expert.png,dataset/sample_1/00011827_003_s1.png,3,0,21047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,dataset/Expert/00011925_072_expert.png,dataset/sample_1/00011925_072_s1.png,5,162894,154111,0.654488,0.486423,0.789984,0.593016,0.812912,0.509685,0.654079,0.972294,0.189373,230.893915,0.478806,0.846527,0.185690,0.002070,0.636844,0.943125,0.673138,0.654488,0.895545,0.056875,103738,50373,835309,59156,162894,154111
2,dataset/Expert/00012045_019_expert.png,dataset/sample_1/00012045_019_s1.png,1,0,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,dataset/Expert/00012094_040_expert.png,dataset/sample_1/00012094_040_s1.png,5,122966,214132,0.588304,0.416735,0.841086,0.516229,0.770329,0.422172,0.587785,0.729556,0.169262,105.990566,0.163273,0.913210,0.205185,0.002744,0.806386,0.875786,0.463070,0.588304,0.867647,0.124214,99158,114974,810636,23808,122966,214132
4,dataset/Expert/00012174_000_expert.png,dataset/sample_1/00012174_000_s1.png,4,103946,67154,0.514693,0.346523,0.699564,0.473743,0.854163,0.429582,0.514383,0.784968,0.096389,210.000000,0.886241,0.616744,0.124905,0.003698,0.423605,0.975523,0.655687,0.514693,0.920811,0.024477,44032,23122,921508,59914,103946,67154
5,dataset/Expert/00012270_005_expert.png,dataset/sample_1/00012270_005_s1.png,4,13755,7154,0.526376,0.357198,0.699239,0.522086,0.981290,0.517056,0.526340,0.684299,0.029264,185.607112,0.946065,0.101190,0.014165,0.003529,0.400073,0.998405,0.769220,0.526376,0.990556,0.001595,5503,1651,1033170,8252,13755,7154
6,dataset/Expert/00012414_000_expert.png,dataset/sample_1/00012414_000_s1.png,1,20172,28894,0.115844,0.061483,0.557778,0.095347,0.920679,0.091213,0.115682,0.822239,0.003560,281.113856,3.156682,0.311998,0.060062,0.029931,0.140888,0.974668,0.098360,0.115844,0.958628,0.025332,2842,26052,1002352,17330,20172,28894
7,dataset/Expert/00012592_005_expert.png,dataset/sample_1/00012592_005_s1.png,4,35547,59404,0.572211,0.400767,0.866202,0.553261,0.925526,0.529794,0.572060,0.748744,0.090740,200.249844,0.475101,0.346119,0.060722,0.002932,0.764228,0.968177,0.457309,0.572211,0.961263,0.031823,27166,32238,980791,8381,35547,59404
8,dataset/Expert/00012829_004_expert.png,dataset/sample_1/00012829_004_s1.png,4,11132,30972,0.171338,0.093696,0.648822,0.158190,0.935667,0.152709,0.171208,0.528786,0.008400,176.954796,2.363739,0.260117,0.043436,0.018966,0.324021,0.973623,0.116460,0.171338,0.966726,0.026377,3607,27365,1010079,7525,11132,30972
9,dataset/Expert/00012892_010_expert.png,dataset/sample_1/00012892_010_s1.png,4,25888,13946,0.468093,0.305562,0.677804,0.458736,0.960404,0.449107,0.468014,0.700206,0.037986,251.543237,0.670379,0.192991,0.030285,0.004456,0.360128,0.995480,0.668507,0.468093,0.979794,0.004520,9323,4623,1018065,16565,25888,13946
10,dataset/Expert/00013337_000_expert.png,dataset/sample_1/00013337_000_s1.png,3,85796,67693,0.530748,0.361237,0.723375,0.494247,0.872059,0.454963,0.530479,0.882057,0.094405,303.415557,0.348593,0.565031,0.114084,0.003467,0.474754,0.971997,0.601717,0.530748,0.931312,0.028003,40732,26961,935819,45064,85796,67693
11,dataset/Expert/00013673_001_expert.png,dataset/sample_1/00013673_001_s1.png,4,15899,22419,0.376951,0.232249,0.719763,0.365697,0.955501,0.357060,0.376862,0.829845,0.025087,188.281704,1.630369,0.212290,0.035642,0.006482,0.454242,0.985284,0.322137,0.376951,0.977232,0.014716,7222,15197,1017480,8677,15899,22419
12,dataset/Expert/00013685_000_expert.png,dataset/sample_1/00013685_000_s1.png,4,21774,67320,0.328125,0.196262,0.809989,0.306358,0.892344,0.287301,0.327902,0.488787,0.038986,97.514102,0.851298,0.411647,0.074776,0.008030,0.671305,0.948673,0.217127,0.328125,0.942913,0.051327,14617,52703,974099,7157,21774,67320
13,dataset/Expert/00013751_003_expert.png,dataset/sample_1/00013751_003_s1.png,5,19953,26714,0.574539,0.403055,0.829471,0.565063,0.962847,0.553877,0.574465,0.855122,0.056004,97.862148,0.368383,0.195116,0.031508,0.002904,0.671879,0.987062,0.501834,0.574539,0.981065,0.012938,13406,13308,1015315,6547,19953,26714
14,dataset/Expert/00013911_021_expert.png,dataset/sample_1/00013911_021_s1.png,5,140292,103044,0.611903,0.440821,0.749595,0.562307,0.836096,0.498543,0.611550,0.846928,0.155282,143.000000,0.388425,0.720673,0.149797,0.002487,0.530672,0.968518,0.722497,0.611903,0.909937,0.031482,74449,28595,879689,65843,140292,103044
