,true_mask_path,pred_mask_path,review,true_mask_pixels,pred_mask_pixels,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
0,dataset/Expert/00000072_000_expert.png,dataset/sample_1/00000072_000_s1.png,1,0,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,dataset/Expert/00000150_002_expert.png,dataset/sample_1/00000150_002_s1.png,5,2729,959,0.520065,0.351411,0.675705,0.519415,0.996630,0.518535,0.520059,0.520065,0.008117,15.132746,0.241432,0.020413,0.002281,0.003619,0.351411,1.000000,1.000000,0.520065,0.998312,0.000000,959,0,1045847,1770,2729,959
2,dataset/Expert/00000181_061_expert.png,dataset/sample_1/00000181_061_s1.png,4,62059,173279,0.519559,0.350949,0.935726,0.473689,0.807597,0.409451,0.519137,0.527403,0.159455,239.703984,0.748286,0.652014,0.146441,0.003626,0.985127,0.886324,0.352818,0.519559,0.892172,0.113676,61136,112143,874374,923,62059,173279
3,dataset/Expert/00000211_019_expert.png,dataset/sample_1/00000211_019_s1.png,4,138819,251580,0.708670,0.548791,0.936005,0.648735,0.806597,0.546934,0.708245,0.711165,0.320121,182.784026,0.464696,0.718626,0.168315,0.001612,0.996492,0.875518,0.549853,0.708670,0.891534,0.124482,138332,113248,796509,487,138819,251580
4,dataset/Expert/00000211_041_expert.png,dataset/sample_1/00000211_041_s1.png,3,124276,285638,0.562957,0.391747,0.872117,0.476487,0.716678,0.355639,0.562288,0.606352,0.193338,325.161498,0.985143,0.983307,0.244822,0.003044,0.928433,0.815800,0.403945,0.562957,0.829149,0.184200,115382,170256,754044,8894,124276,285638
5,dataset/Expert/00000344_003_expert.png,dataset/sample_1/00000344_003_s1.png,2,30639,249968,0.169319,0.092489,0.776563,0.123700,0.654238,0.086855,0.168448,0.218377,0.028011,516.434894,1.697475,0.926791,0.249307,0.019239,0.775352,0.777774,0.095036,0.169319,0.777703,0.222226,23756,226212,791725,6883,30639,249968
6,dataset/Expert/00000468_033_expert.png,dataset/sample_1/00000468_033_s1.png,2,5520,25900,0.244048,0.138984,0.836705,0.237430,0.955723,0.231887,0.243960,0.351369,0.015300,562.275733,1.031884,0.183896,0.027372,0.012147,0.694565,0.978845,0.148031,0.244048,0.977348,0.021155,3834,22066,1020990,1686,5520,25900
7,dataset/Expert/00000808_002_expert.png,dataset/sample_1/00000808_002_s1.png,2,20972,149706,0.233938,0.132463,0.912840,0.206082,0.781711,0.175597,0.233450,0.245749,0.049747,275.753513,0.792729,0.633399,0.142153,0.012842,0.951936,0.873743,0.133355,0.233938,0.875307,0.126257,19964,129742,897862,1008,20972,149706
8,dataset/Expert/00000830_000_expert.png,dataset/sample_1/00000830_000_s1.png,3,4889,22525,0.243452,0.138597,0.832084,0.237611,0.961224,0.232786,0.243375,0.356679,0.013820,429.336698,1.012664,0.164861,0.023968,0.012187,0.682553,0.981615,0.148147,0.243452,0.980221,0.018385,3337,19188,1024499,1552,4889,22525
9,dataset/Expert/00000974_002_expert.png,dataset/sample_1/00000974_002_s1.png,1,25300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,dataset/Expert/00001075_024_expert.png,dataset/sample_1/00001075_024_s1.png,3,54921,33666,0.642036,0.472793,0.756268,0.627194,0.941345,0.606552,0.641917,0.760066,0.107601,264.599698,0.806791,0.286055,0.048279,0.002186,0.517798,0.994739,0.844710,0.642036,0.969758,0.005261,28438,5228,988427,26483,54921,33666
11,dataset/Expert/00001187_006_expert.png,dataset/sample_1/00001187_006_s1.png,2,52405,127489,0.224343,0.126344,0.638668,0.165209,0.769272,0.139055,0.223822,0.582621,0.017470,298.377278,0.675125,0.785254,0.178928,0.013559,0.385059,0.892278,0.158280,0.224343,0.866928,0.107722,20179,107310,888861,32226,52405,127489
12,dataset/Expert/00002350_001_expert.png,dataset/sample_1/00002350_001_s1.png,5,13134,13016,0.866004,0.763674,0.930239,0.864312,0.993339,0.861351,0.865991,0.995488,0.071875,20.099751,0.284978,0.049752,0.006443,0.000607,0.862114,0.998365,0.869929,0.866004,0.996658,0.001635,11323,1693,1033749,1811,13134,13016
13,dataset/Expert/00002578_000_expert.png,dataset/sample_1/00002578_000_s1.png,4,116908,119192,0.790707,0.653859,0.885343,0.764158,0.910192,0.719155,0.790523,0.990326,0.267495,154.149278,0.348143,0.480298,0.088334,0.001038,0.798431,0.972255,0.783131,0.790707,0.952875,0.027745,93343,25849,905819,23565,116908,119192
14,dataset/Expert/00002583_014_expert.png,dataset/sample_1/00002583_014_s1.png,4,17593,25862,0.718214,0.560323,0.938526,0.712472,0.976917,0.703800,0.718169,0.809711,0.079240,150.585524,0.114039,0.131348,0.019472,0.001539,0.887001,0.990051,0.603395,0.718214,0.988322,0.009949,15605,10257,1020726,1988,17593,25862
15,dataset/Expert/00002597_000_expert.png,dataset/sample_1/00002597_000_s1.png,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,dataset/Expert/00002706_004_expert.png,dataset/sample_1/00002706_004_s1.png,1,24489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
