case,path_orig,path_pred_mask,path_truth_mask,expert_evaluation,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,AVGDIST,AVD,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
00000150_002.png,../dataset/Origin/00000150_002.png,../dataset/sample_1/00000150_002_s1.png,../dataset/Expert/00000150_002_expert.png,5,0.520065,0.351411,0.675705,0.519415,0.99663,0.518535,0.520059,0.520065,0.008117,15.132746,2.301135,2.301135,0.241432,0.020413,0.002281,0.003619,0.351411,1.0,1.0,0.520065,0.998312,0.0,959.0,0.0,1045847.0,1770.0,2729.0,959.0
00000181_061.png,../dataset/Origin/00000181_061.png,../dataset/sample_1/00000181_061_s1.png,../dataset/Expert/00000181_061_expert.png,4,0.519559,0.350949,0.935726,0.473689,0.807597,0.409451,0.519137,0.527403,0.159455,239.703984,19.452059,54.215427,0.748286,0.652014,0.146441,0.003626,0.985127,0.886324,0.352818,0.519559,0.892172,0.113676,61136.0,112143.0,874374.0,923.0,62059.0,173279.0
00000211_019.png,../dataset/Origin/00000211_019.png,../dataset/sample_1/00000211_019_s1.png,../dataset/Expert/00000211_019_expert.png,4,0.70867,0.548791,0.936005,0.648735,0.806597,0.546934,0.708245,0.711165,0.320121,182.784026,10.351461,18.752408,0.464696,0.718626,0.168315,0.001612,0.996492,0.875518,0.549853,0.70867,0.891534,0.124482,138332.0,113248.0,796509.0,487.0,138819.0,251580.0
00000211_041.png,../dataset/Origin/00000211_041.png,../dataset/sample_1/00000211_041_s1.png,../dataset/Expert/00000211_041_expert.png,3,0.562957,0.391747,0.872117,0.476487,0.716678,0.355639,0.562288,0.606352,0.193338,325.161498,32.287812,73.461128,0.985143,0.983307,0.244822,0.003044,0.928433,0.8158,0.403945,0.562957,0.829149,0.1842,115382.0,170256.0,754044.0,8894.0,124276.0,285638.0
00000344_003.png,../dataset/Origin/00000344_003.png,../dataset/sample_1/00000344_003_s1.png,../dataset/Expert/00000344_003_expert.png,2,0.169319,0.092489,0.776563,0.1237,0.654238,0.086855,0.168448,0.218377,0.028011,516.434894,116.957004,943.268882,1.697475,0.926791,0.249307,0.019239,0.775352,0.777774,0.095036,0.169319,0.777703,0.222226,23756.0,226212.0,791725.0,6883.0,30639.0,249968.0
00000468_033.png,../dataset/Origin/00000468_033.png,../dataset/sample_1/00000468_033_s1.png,../dataset/Expert/00000468_033_expert.png,2,0.244048,0.138984,0.836705,0.23743,0.955723,0.231887,0.24396,0.351369,0.0153,562.275733,78.535179,364.579015,1.031884,0.183896,0.027372,0.012147,0.694565,0.978845,0.148031,0.244048,0.977348,0.021155,3834.0,22066.0,1020990.0,1686.0,5520.0,25900.0
00000808_002.png,../dataset/Origin/00000808_002.png,../dataset/sample_1/00000808_002_s1.png,../dataset/Expert/00000808_002_expert.png,2,0.233938,0.132463,0.91284,0.206082,0.781711,0.175597,0.23345,0.245749,0.049747,275.753513,47.971868,341.39107,0.792729,0.633399,0.142153,0.012842,0.951936,0.873743,0.133355,0.233938,0.875307,0.126257,19964.0,129742.0,897862.0,1008.0,20972.0,149706.0
00000830_000.png,../dataset/Origin/00000830_000.png,../dataset/sample_1/00000830_000_s1.png,../dataset/Expert/00000830_000_expert.png,3,0.243452,0.138597,0.832084,0.237611,0.961224,0.232786,0.243375,0.356679,0.01382,429.336698,47.615496,213.361925,1.012664,0.164861,0.023968,0.012187,0.682553,0.981615,0.148147,0.243452,0.980221,0.018385,3337.0,19188.0,1024499.0,1552.0,4889.0,22525.0
00001075_024.png,../dataset/Origin/00001075_024.png,../dataset/sample_1/00001075_024_s1.png,../dataset/Expert/00001075_024_expert.png,3,0.642036,0.472793,0.756268,0.627194,0.941345,0.606552,0.641917,0.760066,0.107601,264.599698,33.689945,33.326694,0.806791,0.286055,0.048279,0.002186,0.517798,0.994739,0.84471,0.642036,0.969758,0.005261,28438.0,5228.0,988427.0,26483.0,54921.0,33666.0
00001187_006.png,../dataset/Origin/00001187_006.png,../dataset/sample_1/00001187_006_s1.png,../dataset/Expert/00001187_006_expert.png,2,0.224343,0.126344,0.638668,0.165209,0.769272,0.139055,0.223822,0.582621,0.01747,298.377278,67.037644,135.31843,0.675125,0.785254,0.178928,0.013559,0.385059,0.892278,0.15828,0.224343,0.866928,0.107722,20179.0,107310.0,888861.0,32226.0,52405.0,127489.0
