,file,review,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,AVGDIST,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
0,dataset/sample_1/00000072_000_s1.png,1,0.002407,0.001205,0.499247,0,0.503173,0,0.001024,0.008770,0.000211,838.628642,0,0.492610,1.015801,0.462183,1.625319,0.001209,0.997286,0.274451,0.002407,0.539835,0.002714,582,1539,565476,480979,481561,2121
1,dataset/sample_1/00000150_002_s1.png,5,0.002432,0.001217,0.500255,0.000608,0.518239,0.000195,0.001476,0.004511,0.000048,964.493650,0,1.386808,0.984018,0.405417,1.608845,0.001219,0.999292,0.539038,0.002432,0.595497,0.000708,517,442,623906,423711,424228,959
2,dataset/sample_1/00000181_061_s1.png,4,0.313796,0.186096,0.544533,0.093755,0.510556,0.017935,0.446474,0.530697,0.010274,540.259197,0,0.639049,1.620966,0.563324,0.008576,0.213568,0.875497,0.591290,0.313796,0.572651,0.124503,102458,70821,498010,377287,479746,173279
3,dataset/sample_1/00000211_019_s1.png,4,0.451752,0.291783,0.598868,0.209881,0.537366,0.068718,0.604135,0.724104,0.037476,346.850112,0,0.343068,1.702678,0.536133,0.004759,0.354067,0.843668,0.623877,0.451752,0.636686,0.156332,156955,94625,510659,286337,443292,251580
4,dataset/sample_1/00000211_041_s1.png,3,0.418531,0.264647,0.564201,0.135307,0.521142,0.035907,0.580846,0.797593,0.014373,360.800499,0,0.175232,1.792998,0.591394,0.005448,0.348078,0.780324,0.524743,0.418531,0.602816,0.219676,149886,135752,482212,280726,430612,285638
5,dataset/sample_1/00000344_003_s1.png,2,0.311627,0.184572,0.507568,0.016196,0.506423,0.003126,0.467087,0.740313,0.000219,420.048807,0,0.428170,1.766061,0.624830,0.008663,0.247384,0.767751,0.420939,0.311627,0.556674,0.232249,105221,144747,478494,320114,425336,249968
6,dataset/sample_1/00000468_033_s1.png,2,0.032099,0.016311,0.493724,0,0.518864,0,0.050561,0.118682,0.001180,488.087082,0,0.474037,1.130500,0.426932,0.118248,0.017062,0.970385,0.270465,0.032099,0.597121,0.029615,7005,18895,619121,403555,410560,25900
7,dataset/sample_1/00000808_002_s1.png,2,0.257081,0.147500,0.522773,0.046201,0.501805,0.003400,0.344945,0.451395,0.003061,484.879366,0,0.090669,1.585027,0.591821,0.011333,0.166008,0.879538,0.569526,0.257081,0.530048,0.120462,85261,64445,470534,428336,513597,149706
8,dataset/sample_1/00000830_000_s1.png,3,0.038513,0.019635,0.498127,0,0.516333,0.001337,0.049801,0.069970,0.000115,577.225259,0,0.692970,1.124599,0.611387,0.097902,0.019955,0.976298,0.550423,0.038513,0.409630,0.023702,12398,10127,417130,608921,621320,22525
9,dataset/sample_1/00000974_002_s1.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,dataset/sample_1/00001075_024_s1.png,3,0.040104,0.020462,0.489391,0,0.500039,0,0.056413,0.122196,0.002668,562.339755,0,0.154146,1.199385,0.535379,0.093864,0.021357,0.957425,0.328192,0.040104,0.495584,0.042575,11049,22617,508609,506301,517350,33666
11,dataset/sample_1/00001187_006_s1.png,2,0.220209,0.123727,0.513058,0.019572,0.519383,0,0.275110,0.316851,0.001075,463.534249,0,0.161215,1.469453,0.705092,0.013887,0.130832,0.895284,0.694992,0.220209,0.401553,0.104716,88604,38885,332455,588632,677236,127489
12,dataset/sample_1/00002350_001_s1.png,5,0.019671,0.009933,0.497831,0,0.501903,0,0.026767,0.051876,0.000279,735.832861,0,0.718181,1.092529,0.481403,0.195440,0.010097,0.985565,0.379182,0.019671,0.530852,0.014435,4935,8081,551703,483857,488793,13016
13,dataset/sample_1/00002578_000_s1.png,4,0.191984,0.106185,0.500878,0.001482,0.510139,0,0.257700,0.321594,0.000005,622.839466,0,0.664215,1.485641,0.671950,0.016505,0.114385,0.887372,0.596977,0.191984,0.428799,0.112628,71155,48037,378473,550911,622066,119192
14,dataset/sample_1/00002583_014_s1.png,4,0.055114,0.028338,0.504321,0.008454,0.500087,0,0.076492,0.092002,0.000564,829.002413,0,1.074294,1.165372,0.530648,0.067232,0.028886,0.979757,0.599058,0.055114,0.493389,0.020243,15493,10369,501863,520851,536344,25862
15,dataset/sample_1/00002597_000_s1.png,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,dataset/sample_1/00002706_004_s1.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,dataset/sample_1/00002711_000_s1.png,5,0.226281,0.127574,0.478180,0,0.505769,0,0.322397,0.696173,0.002040,341.646016,0,0.045883,1.674599,0.606313,0.013409,0.173551,0.782809,0.325036,0.226281,0.553709,0.217191,68431,142103,512174,325868,394299,210534
18,dataset/sample_1/00002763_031_s1.png,4,0.314707,0.186737,0.560871,0.136816,0.534801,0.049014,0.431868,0.517680,0.020919,421.384622,0,0.377585,1.509679,0.484238,0.008539,0.212307,0.909436,0.607918,0.314707,0.631911,0.090564,88624,57159,573983,328810,417434,145783
